time,x1,y1,x2,y2,theta1,theta2,L1,L2,normalized_overlap,energy,total_angular_momentum
0.14400000000000002,-2.8272126842196332,-0.4500050284740752,2.8272126842196332,0.4500050284740752,0.24999048889417533,-0.30004071430067164,-6.608582149048321e-05,-0.00024025268558484735,4.789120079665237e-05,1.4402324902779933,1.0800000000000003
0.152,-2.817614484960901,-0.45000575171757395,2.817614484960901,0.45000575171757395,0.24998910223185536,-0.30004645861253,-7.265279410639747e-05,-0.0002625898475062203,5.100021565108673e-05,1.440232490277993,1.08
0.16,-2.808016452677738,-0.4500065439131294,2.808016452677738,0.4500065439131294,0.24998757979555453,-0.3000527285164474,-7.966784849259314e-05,-0.0002862538612530807,5.429924745022057e-05,1.4402324902779935,1.08
0.168,-2.798418597564185,-0.4500074095304136,2.798418597564185,0.4500074095304136,0.2499859123404884,-0.30005955516790767,-8.715957312159761e-05,-0.00031131772221020427,5.779909663843503e-05,1.4402324902779933,1.08
0.176,-2.788820930393554,-0.4500083533119049,2.788820930393554,0.4500083533119049,0.24998409003339836,-0.30006697143219635,-9.515824160621228e-05,-0.0003378580686624308,6.151112346498897e-05,1.4402324902779933,1.0800000000000003
0.184,-2.7792234625485137,-0.45000938028838,2.7792234625485137,0.45000938028838,0.249982102417955,-0.3000750119694721,-0.00010369590276470262,-0.0003659553406572576,6.544727349156654e-05,1.4402324902779935,1.0800000000000003
0.192,-2.769626206052563,-0.4500104957952093,2.769626206052563,0.4500104957952093,0.24997993837831842,-0.3000837133235325,-0.00011280647491208453,-0.00039569394442458045,6.962010403523357e-05,1.4402324902779937,1.0800000000000003
0.2,-2.7600291736029416,-0.4500117054894927,2.7600291736029416,0.4500117054894927,0.24997758610076884,-0.3000931140144025,-0.0001225258445404467,-0.00042716242246558685,7.404281156570472e-05,1.4402324902779935,1.08
0.20800000000000002,-2.750432378605026,-0.45001301536807375,2.750432378605026,0.45001301536807375,0.24997503303331842,-0.30010325463487675,-0.0001328919695554596,-0.0004604536294194501,7.872926007497913e-05,1.4402324902779937,1.0800000000000005
0.216,-2.7408358352082773,-0.45001443178647127,2.7408358352082773,0.45001443178647127,0.24997226584321142,-0.3001141779511486,-0.0001439449872404688,-0.0004956649138126849,8.369401043639483e-05,1.4402324902779935,1.0800000000000003
0.224,-2.731239558343787,-0.450015961478771,2.731239558343787,0.450015961478771,0.24996927037221625,-0.3001259290076613,-0.00015572732712378748,-0.0005328983057916679,8.895235076902815e-05,1.4402324902779942,1.0800000000000005
0.232,-2.7216435637634855,-0.4500176115785175,2.7216435637634855,0.4500176115785175,0.2499660315896098,-0.30013855523632005,-0.0001682838289290004,-0.0005722607109338411,9.452032782205276e-05,1.4402324902779937,1.0800000000000005
0.24,-2.7120478680810662,-0.45001938964065297,2.7120478680810662,0.45001938964065297,0.24996253354275014,-0.30015210657020397,-0.00018166186579222194,-0.0006138641102275502,0.00010041477939219346,1.4402324902779937,1.0800000000000003
0.248,-2.7024524888146937,-0.450021303664546,2.7024524888146937,0.450021303664546,0.24995875930513087,-0.30016663556192036,-0.00019591147293440637,-0.0006578257663042025,0.00010665336778575982,1.4402324902779937,1.0800000000000003
0.256,-2.692857444431548,-0.4500233621181594,2.692857444431548,0.4500233621181594,0.24995469092180583,-0.3001821975067452,-0.00021108548198081422,-0.0007042684359994642,0.00011325461433487547,1.4402324902779935,1.08
0.264,-2.683262754394275,-0.4500255739634043,2.683262754394275,0.4500255739634043,0.24995030935206922,-0.3001988505706951,-0.00022723966112376436,-0.0007533205893125218,0.00012023793497544592,1.4402324902779935,1.0800000000000003
0.272,-2.6736684392094014,-0.4500279486827321,2.6736684392094014,0.4500279486827321,0.24994559440927255,-0.30021665592367786,-0.0002444328613286913,-0.000805116634823896,0.00012762367689210017,1.4402324902779937,1.0800000000000003
0.28,-2.664074520477782,-0.4500304963070153,2.664074520477782,0.4500304963070153,0.24994052469765513,-0.30023567787786937,-0.0002627271687873419,-0.0008597971516229813,0.00013543315623279917,1.4402324902779937,1.0800000000000005
0.28800000000000003,-2.654481020947144,-0.45003322744477126,2.654481020947144,0.45003322744477126,0.2499350775460614,-0.30025598403146697,-0.0002821880638256738,-0.0009175091277862619,0.00014368869689299182,1.4402324902779937,1.0800000000000003
0.296,-2.644887964566793,-0.450036153312784,2.644887964566793,0.450036153312784,0.24992922893841385,-0.3002776454179687,-0.0003028845864775818,-0.00097840620543592,0.00015241367036610337,1.4402324902779937,1.0800000000000003
0.304,-2.635295376544549,-0.4500392857681815,2.635295376544549,0.4500392857681815,0.24992295344080598,-0.3003007366611291,-0.00032488950893905943,-0.001042648932396499,0.0001616325366537737,1.4402324902779935,1.08
0.312,-2.6257032834059837,-0.45004263734202604,2.6257032834059837,0.45004263734202604,0.24991622412507544,-0.300325336135743,-0.00034827951512070255,-0.0011104050204540112,0.0001713708862255367,1.4402324902779937,1.0800000000000005
