case_id,speed,phase,phase_over_pi,impact_parameter,event_class,topology_sequence,minimum_component_count,maximum_component_count,final_component_count,activity_duration,activity_impulse,equivalent_time,peak_activity,peak_time
12,0.55,2.0943951023931953,0.6666666666666666,0.0,two_component_scattering,2,2,2,2,6.56,14.229187124660731,4.469080771155597,3.183918092619616,9.76
13,0.55,2.6179938779914944,0.8333333333333334,0.0,two_component_scattering,2,2,2,2,6.56,19.515994808427173,4.560916150749874,4.278963735217647,10.08
14,0.55,3.141592653589793,1.0,0.0,two_component_scattering,2,2,2,2,6.56,20.610574439478082,4.49592855267013,4.58427535002474,10.24
15,0.75,0.0,0.0,0.0,persistent_fusion_candidate,2-1,1,2,1,5.76,73.24033973539892,5.224622834249098,14.018301810282788,10.56
16,0.75,0.5235987755982988,0.16666666666666666,0.0,persistent_fusion_candidate,2-1,1,2,1,5.76,64.44512740336864,5.154729070752021,12.50213668241671,9.92
17,0.75,1.0471975511965976,0.3333333333333333,0.0,fusion_fission_scattering,2-1-2-1-2-1-2-1-2-1-2-1-2-1-2,1,2,2,6.239999999999999,46.680629757943386,4.873889752077017,9.577695051072986,10.4
18,0.75,1.5707963267948966,0.5,0.0,fusion_fission_scattering,2-1-2-1-2,1,2,2,6.88,30.705970998256994,4.378409941624488,7.013041585335061,11.36
19,0.75,2.0943951023931953,0.6666666666666666,0.0,fusion_fission_scattering,2-1-2,1,2,2,6.88,15.739558991383896,3.3274733148459883,4.730183386042391,12.0
20,0.75,2.6179938779914944,0.8333333333333334,0.0,fusion_fission_scattering,2-1-2,1,2,2,7.52,10.714541285634473,3.42142428952112,3.1316026248045765,12.0
21,0.75,3.141592653589793,1.0,0.0,two_component_scattering,2,2,2,2,8.160000000000002,9.732555598234239,5.185114043475419,1.8770186184199744,5.76
22,0.95,0.0,0.0,0.0,fusion_fission_scattering,2-1-2,1,2,2,6.88,127.7385276842077,6.046049426892989,21.127602284563423,12.0
23,0.95,0.5235987755982988,0.16666666666666666,0.0,fusion_fission_scattering,2-1-2,1,2,2,6.88,118.73261181067632,6.058722692014544,19.596970821451702,10.4
24,0.95,1.0471975511965976,0.3333333333333333,0.0,persistent_fusion_candidate,2-1-2-1-2-1-2-1-2-1-2-1-2-1,1,2,1,6.88,101.68166662094451,6.039063254027476,16.837324323955805,9.92
25,0.95,1.5707963267948966,0.5,0.0,fusion_fission_scattering,2-1-2-1-2,1,2,2,7.359999999999999,81.97058634006792,6.042254660297008,13.566225018400441,9.76
26,0.95,2.0943951023931953,0.6666666666666666,0.0,fusion_fission_scattering,2-1-2,1,2,2,7.68,55.58412671119291,5.774892539067656,9.625136110353813,12.0
27,0.95,2.6179938779914944,0.8333333333333334,0.0,fusion_fission_scattering,2-1-2,1,2,2,8.0,54.28262787608658,5.940507016631809,9.137709580025735,8.64
28,0.95,3.141592653589793,1.0,0.0,two_component_scattering,2,2,2,2,8.0,37.295507548677804,5.395895965710071,6.911828505531595,8.64
29,1.15,0.0,0.0,0.0,fusion_fission_scattering,2-1-2,1,2,2,7.68,197.66092812315927,6.6314313313276285,29.806676454506402,12.0
30,1.15,0.5235987755982988,0.16666666666666666,0.0,fusion_fission_scattering,2-1-2-1-2,1,2,2,7.68,191.02220513712425,6.669119718841389,28.642791431297038,12.0
31,1.15,1.0471975511965976,0.3333333333333333,0.0,fusion_fission_scattering,2-1-2-1-2,1,2,2,7.68,175.05850304504816,6.775343395336438,25.837583843431958,12.0
32,1.15,1.5707963267948966,0.5,0.0,fragmentation,2-1-2-1-2-3,1,3,3,7.68,148.8093154710042,6.919079272013589,21.50709792745267,12.0
33,1.15,2.0943951023931953,0.6666666666666666,0.0,fragmentation,2-1-2-3,1,3,3,7.84,114.06680341494247,6.865380760749345,16.61478181473685,7.84
34,1.15,2.6179938779914944,0.8333333333333334,0.0,fragmentation,2-1-2-3,1,3,3,8.0,125.9656121136855,6.838513356592933,18.420028673665378,7.5200000000000005
35,1.15,3.141592653589793,1.0,0.0,two_component_scattering,2,2,2,2,8.32,98.49678892091472,6.428792180663343,15.321196603177725,7.5200000000000005
36,0.35,0.0,0.0,0.8,persistent_fusion_candidate,2-1,1,2,1,4.96,4.68174001458621,1.7550705933076727,2.667550828119583,12.0
37,0.35,0.5235987755982988,0.16666666666666666,0.8,persistent_fusion_candidate,2-1,1,2,1,5.6,3.254798760398924,2.411707050331056,1.349582968608122,12.0
