time,mean_normalized_activity,std_normalized_activity,single_exponential_fit
0.0,1.0,0.0,1.0105997631744685
0.16,0.9976596113063309,0.0028201982789736817,0.9956309166145652
0.32,0.9912290028818089,0.008105129958369088,0.9808837862824887
0.48,0.9824770112465124,0.014996308298865927,0.9663550881519463
0.64,0.9709260263831653,0.023440052810636887,0.9520415868391311
0.8,0.9583868838227999,0.034336419144477305,0.937940094882239
0.96,0.9438609859396068,0.04632654693395736,0.9240474720316539
1.12,0.9262998177132103,0.06001452090828844,0.9103606245506493
1.28,0.9050470541588066,0.07392501327237261,0.8968765045264454
1.44,0.8891020605341583,0.0870408902795724,0.8835921091914732
1.6,0.868359077428385,0.10174532657842027,0.87050448025469
1.76,0.8389544621559664,0.11998343487373968,0.8576107032427994
1.92,0.8252886097972322,0.13943444205737615,0.8449079068512313
2.08,0.8145439745877838,0.15968939367516588,0.8323932623047317
2.24,0.7766254546630444,0.19813134795812223,0.820063982727426
2.4,0.7818175170452432,0.21292662487129535,0.8079173225222118
2.56,0.7427733352697447,0.2636001672399072,0.7959505767593443
2.72,0.7268284235498643,0.28836027044436097,0.7841610805740773
2.88,0.7272669120680127,0.27823400865734266,0.7725462085732266
3.04,0.7266264851890567,0.2808885512946114,0.7611033742505243
3.2,0.7270519557059504,0.29283098738802493,0.7498300294106304
3.36,0.7319577040350551,0.3099583985504124,0.7387236636016787
3.52,0.7188407924971347,0.2899526079147586,0.7277818035562256
3.68,0.7531871773375441,0.24972445139571176,0.7170020126404798
3.84,0.7843102194841174,0.21875617161353833,0.7063818903116917
4.0,0.8082597706898599,0.21395075461900198,0.6959190715835769
4.16,0.8237532209512857,0.19788227493099633,0.6856112264996604
4.32,0.7719907529910383,0.19305601322269986,0.6754560596144207
4.48,0.7162539963068001,0.15249751697639255,0.6654513094821175
4.64,0.5404018239141453,0.0,0.6555947481531942
4.8,0.5584274996962972,0.0,0.6458841806781358
4.96,0.5781784467924035,0.0,0.6363174446186788
