event_class,count,activity_duration_mean,activity_duration_std,activity_impulse_mean,activity_impulse_std,equivalent_time_mean,equivalent_time_std,peak_activity_mean,peak_activity_std
fragmentation,10,7.824,0.2661327989306594,125.33059289883792,14.785892544109654,6.635527872614598,0.3022522049956993,18.934294011318144,2.504448588396338
fusion_fission_scattering,40,7.031999999999999,0.728226507450701,77.57419790195635,56.51705490642068,4.899143007660571,1.3751586037145935,14.25525274523672,7.589544349438002
persistent_fusion_candidate,33,5.367272727272728,1.2013931307217693,31.91942277703591,33.230412396558386,3.4823205369966495,1.4807402898672495,7.025793216421633,5.487231832469545
two_component_scattering,22,5.854545454545456,1.4933271490286293,22.52799868315879,22.237176744495724,3.391102510480887,1.373476071570497,5.922110341962175,3.9598759041671556
