omega,real,imag,magnitude
0.0,4.018815494839386,0.0,4.018815494839386
0.05,3.9822302396900473,0.4584754370415493,4.008535569041678
0.1,3.8737652858444536,0.9037451818012399,3.977789944610263
0.15000000000000002,3.6972382081833994,1.3231250060695345,3.926860087873987
0.2,3.4588313151481938,1.704950291641267,3.856211815190839
0.25,3.1668299742630315,2.0390286565931657,3.7664904019921415
0.30000000000000004,2.831273423815837,2.317027037735971,3.6585138367929377
0.35000000000000003,2.4635342132820535,2.53277633420368,3.5332643234144623
0.4,2.075845637611904,2.6824806417467473,3.3918781677027274
0.45,1.6807988090779538,2.7648226317263904,3.235634222452271
0.5,1.2908322380055974,2.7809615281714763,3.0659411096504074
0.55,0.9177369164970509,2.734425167977562,2.884323499049757
0.6000000000000001,0.57219891892654,2.630902545561174,2.6924078084608514
0.65,0.2633995064697552,2.477947803582394,2.4919078268040575
0.7000000000000001,-0.0013102408386220094,2.2846106148574643,2.2846109905737686
0.75,-0.21664698703752333,2.061011117154657,2.07236645939552
0.8,-0.37953595608666285,1.8178798622281247,1.8570769331013626
0.8500000000000001,-0.48915076281592595,1.5660845207145535,1.640697776796548
0.9,-0.5468528575626391,1.3161652952097143,1.4252505506537783
0.9500000000000001,-0.5560359109539741,1.0779001391229825,1.2128662927923097
1.0,-0.5218848523786954,0.8599190165184927,1.0058948822379326
1.05,-0.45106310992789955,0.6693836758608835,0.8071755909632407
1.1,-0.35134469971422055,0.5117459000810164,0.6207471016984336
1.1500000000000001,-0.231210036969425,0.3905931239508905,0.4538954391411293
1.2000000000000002,-0.09942559510004298,0.30758589021680327,0.3232561350097799
1.25,0.03537222241450784,0.2624870753316263,0.2648596965087219
1.3,0.16506940087270536,0.253278383348914,0.3023207676894086
1.35,0.28242494423881903,0.27635550249181606,0.3951407507278947
1.4000000000000001,0.38136449509036585,0.326789742293632,0.5022254611067305
1.4500000000000002,0.45720487726562165,0.3986410885830267,0.606589661387443
1.5,0.506801262534869,0.4853055586645968,0.701690106085082
1.55,0.5286127437715877,0.5798785946418649,0.7846595550947879
1.6,0.5226862762751854,0.6755160352777343,0.8541211022587889
1.6500000000000001,0.49056301116750867,0.7657749429485338,0.9094302233671164
1.7000000000000002,0.43511478594568725,0.8449181711437035,0.9503744487713155
1.75,0.3603217742839726,0.9081689348990885,0.9770376632141132
1.8,0.27100487730349404,0.9519046494719536,0.9897303194348472
1.85,0.17252824671556638,0.9737827602671136,0.9889483606883558
1.9000000000000001,0.07048829435241716,0.972795008756929,0.9753454407045263
