time,component_count,norm,hamiltonian,momentum_x,momentum_y,angular_momentum,peak_density
0.0,2,29.802404549014216,-0.7910745884876761,5.437168933986687e-06,-1.5046174370154483e-16,3.4673624568099806e-16,1.9568388123371019
0.1,2,29.802404549014337,-0.7910800467930171,5.437149140194527e-06,-3.656146566055618e-12,-6.348068570862653e-16,1.9014769165952081
0.2,2,29.80240454901446,-0.7910874323872776,5.436470511592586e-06,-2.2515322939398175e-10,7.5998575354514e-16,1.7706223388972095
0.3,2,29.80240454901458,-0.7910909577346535,5.433783688899053e-06,-9.870427392089098e-10,3.877431620654979e-15,1.6381827381951728
0.4,2,29.802404549014703,-0.7910926327574193,5.432347665765456e-06,-5.938837095709193e-10,1.369424635605629e-15,1.531150576969723
0.5,2,29.802404549014827,-0.7910935785135683,5.436458401049692e-06,-1.3978914380208263e-09,-1.9350709216763357e-15,1.4545275387678074
0.6,2,29.802404549014955,-0.7910936754124483,5.43747633288533e-06,-1.5251223894896526e-09,2.64419135412212e-15,1.4093876028190437
0.7000000000000001,2,29.802404549015083,-0.7910929232832251,5.439212203312602e-06,-9.517955867899275e-10,-1.4186005230219066e-15,1.3858509790332496
0.8,2,29.8024045490152,-0.7910916120781409,5.440129597361462e-06,-4.904640062142196e-10,-8.52839126497157e-15,1.3836765104297166
0.9,2,29.802404549015314,-0.791090081560041,5.439579830127062e-06,-2.2481730019285884e-10,-9.130473202664013e-15,1.3983772474939073
1.0,2,29.80240454901544,-0.7910885888998643,5.441339738265196e-06,-9.412874125980242e-11,-9.91497030299257e-15,1.4207378847164227
1.1,2,29.802404549015577,-0.7910872975686819,5.438973923688828e-06,-3.9849829165661266e-11,-3.2763022641559524e-15,1.447783111384819
1.2,2,29.802404549015694,-0.7910862966116521,5.443375583967947e-06,-2.0944032098901832e-11,1.5368731231104536e-15,1.4781778526069367
1.3,2,29.802404549015826,-0.7910856239173554,5.437859130555019e-06,-1.3846804020230252e-11,-1.2117415115403605e-15,1.5047599424034461
1.4000000000000001,2,29.802404549015943,-0.791085275348998,5.4403109681146e-06,-8.230745186972588e-12,-2.9120516270570015e-15,1.525198361986085
1.5,2,29.802404549016064,-0.7910852081378267,5.443126309628174e-06,-3.977493247958597e-12,3.1259147407445035e-14,1.5449548105025688
1.6,2,29.80240454901618,-0.7910853585910207,5.441279105479575e-06,-4.123177493875474e-12,-4.818538561660404e-14,1.5630940293222493
1.7,2,29.802404549016302,-0.7910856613305551,5.4216488608686845e-06,-7.381199601183552e-12,1.4659747448895945e-14,1.5751090659818772
1.8,2,29.80240454901643,-0.7910860559341867,5.364094231282979e-06,-9.340632108924274e-12,3.8981362557896464e-13,1.5797370964828972
1.9000000000000001,2,29.802404549016558,-0.7910864903683577,5.36426878677534e-06,-9.347887454337275e-12,-1.4594818138324167e-12,1.5880831517538194
2.0,2,29.802404549016675,-0.7910869212501224,5.213605912732899e-06,-1.0604692579803399e-11,-5.725847855748978e-13,1.59490392893463
2.1,2,29.802404549016803,-0.7910873127089921,5.216212643938238e-06,-1.3890586814460648e-11,4.3052448541955335e-12,1.5929877547006297
2.2,2,29.802404549016913,-0.7910876354407604,5.412614964674012e-06,-1.6433892007644557e-11,-1.1739903753998915e-12,1.5975223220502943
2.3000000000000003,2,29.802404549017037,-0.7910878737842967,5.404415274937958e-06,-1.6885234530028548e-11,-1.3826264487698872e-11,1.5988273791631242
2.4,2,29.802404549017158,-0.7910880236817486,5.278642378739392e-06,-1.785286328492841e-11,-4.80052128148771e-12,1.610464066980218
2.5,2,29.802404549017275,-0.7910880883064906,5.270449300518176e-06,-2.0400651654095547e-11,2.7578162193134248e-11,1.607678402019914
2.6,2,29.802404549017393,-0.7910880815333415,5.3442762439551755e-06,-2.248286192635396e-11,3.905733971919928e-11,1.5987347375261278
2.7,2,29.802404549017513,-0.791088028003409,5.461535916547275e-06,-2.4265745662832572e-11,9.15688152473143e-12,1.6105785338139968
2.8000000000000003,2,29.802404549017623,-0.7910879534011706,5.518456303746504e-06,-2.627856699605191e-11,-3.2638776121911295e-11,1.6085602427957606
2.9,2,29.802404549017737,-0.7910878791069538,5.4826123112659075e-06,-2.7297109884971693e-11,-6.634929693334624e-11,1.5942159233155395
3.0,2,29.802404549017847,-0.7910878142715337,5.4331407269518425e-06,-2.6885525056252746e-11,-5.6907912627038315e-11,1.5740206475834821
3.1,2,29.802404549017965,-0.7910877480698665,5.423408095758494e-06,-2.528229361975498e-11,-3.577541908550419e-11,1.5783113020705644
3.2,2,29.802404549018068,-0.7910876620246539,5.425157124103552e-06,-2.2733074103720163e-11,9.862445062014391e-12,1.5726601750055746
3.3000000000000003,2,29.80240454901818,-0.7910875465781514,5.395920773184173e-06,-2.0520434310111746e-11,1.0920875748859915e-11,1.5592564561853255
3.4,2,29.802404549018295,-0.7910874006093083,5.330065496895659e-06,-1.996141966997822e-11,5.015584302048293e-12,1.562147770969721
3.5,2,29.802404549018412,-0.7910872245433695,5.265802883081496e-06,-2.0385299351333153e-11,1.9149303453688815e-11,1.566339466396593
3.6,2,29.802404549018526,-0.7910870201042953,5.2475127966994845e-06,-2.014920348625271e-11,-4.294788266342997e-11,1.5636605284985814
3.7,2,29.802404549018636,-0.7910867913733561,5.273619319901869e-06,-1.912454569708011e-11,-2.5155778068247647e-11,1.555156461252372
