time,x1,y1,x2,y2,theta1,theta2,beta1a,beta1b,beta2a,beta2b,L1,L2,overlap,translation_energy,rotation_energy,shape_energy,interaction_energy,total_energy
0.0,-3.2,-0.42,3.2,0.42,0.27,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,4.6962053662415e-06,1.2100000000000002,0.0,0.0,0.00013341378570446373,1.2101334137857047
0.0064285714285714285,-3.1929285817351474,-0.4200000030606721,3.1929285817351474,0.4200000030606721,0.26999999988147905,-0.34000000926909035,-2.637188099990851e-07,-9.285482524204572e-09,-1.5036662086683344e-07,-3.882813702691607e-08,-5.216524078992514e-08,-3.372283852350457e-06,4.946567882411167e-06,1.2099928867782406,4.902836742161304e-12,7.385976213575481e-10,0.00014052626396380766,1.2101334137857047
0.012857142857142857,-3.1858571847807524,-0.42000001245880664,3.1858571847807524,0.42000001245880664,0.26999999950472986,-0.34000003768568016,-1.0683013372698792e-06,-3.522405198217864e-08,-6.086719069874172e-07,-1.5602571454575804e-07,-1.1131089036443174e-07,-6.9113802088138816e-06,5.209624493871577e-06,1.209985411382943,2.0593795104695135e-11,3.088614709742275e-09,0.0001479992935534245,1.2101334137857047
0.019285714285714285,-3.1787858102204565,-0.4200000285308502,3.1787858102204565,0.4200000285308502,0.26999999883603376,-0.34000008619561967,-2.428975617326454e-06,-7.101932792830183e-08,-1.3824314922719293e-06,-3.498303261637118e-07,-1.7800451200859144e-07,-1.0625049877119527e-05,5.485981729197887e-06,1.209977556395882,4.8671760221210513e-11,7.248381768966843e-09,0.00015585009276947745,1.210133413785705
0.025714285714285714,-3.1717144591899435,-0.4200000516302313,3.1717144591899435,0.4200000516302313,0.26999999783894946,-0.34000015578872445,-4.35436153222333e-06,-1.0463140181525063e-07,-2.4747351521044466e-06,-6.14686785057211e-07,-2.528510699149559e-07,-1.452138882128609e-05,5.776273875576768e-06,1.2099693036164088,9.09160068103712e-11,1.3409606376117985e-08,0.00016409666877367242,1.2101334137857047
0.03214285714285714,-3.16464313287928,-0.42000008212816914,3.16464313287928,0.42000008212816914,0.26999999647413453,-0.3400002475006733,-6.846514686586967e-06,-1.1886699831332794e-07,-3.884283529000634e-06,-9.413049149976571e-07,-3.364950610059048e-07,-1.860884187752287e-05,6.081164258713591e-06,1.2099606340279907,1.4930431532339056e-10,2.1754160395661145e-08,0.00017275785424953195,1.2101334137857052
0.03857142857142857,-3.1575718325353472,-0.4200001204145188,3.1575718325353472,0.4200001204145188,0.2699999946991564,-0.34000036241498327,-9.901111699673164e-06,-9.160249955462461e-08,-5.605521800485587e-06,-1.3168105293029648e-06,-4.2962275719933713e-07,-2.2896217035792007e-05,6.401346567439516e-06,1.2099515277633115,2.2603279132953742e-10,3.245102459690466e-08,0.0001818533453365059,1.2101334137857056
0.045,-3.1505005594643856,-0.4200001668986554,3.1505005594643856,0.4200001668986554,0.26999999246829265,-0.34000050166506446,-1.350777220425176e-05,3.865130131517003e-09,-7.628866970459571e-06,-1.7249861731035093e-06,-5.329645635786295e-07,-2.7392700299308477e-05,6.7375462207868765e-06,1.209941964067897,3.235375416912051e-10,4.565350055628249e-08,0.0001914037407701009,1.2101334137857054
0.05142857142857143,-3.1434293150346417,-0.42000022201039844,3.1434293150346417,0.42000022201039844,0.26999998973232026,-0.3400006664363584,-1.7650509958967112e-05,1.983473290618609e-07,-9.941023470836896e-06,-2.1465962262874144e-06,-6.47297498069106e-07,-3.2107871132029965e-05,7.090521775031147e-06,1.2099319212622355,4.445183742313955e-10,6.149680330228507e-08,0.0002014305821475681,1.2101334137857047
0.05785714285714286,-3.136358100679131,-0.42000028620097846,3.136358100679131,0.42000028620097846,0.26999998643829287,-0.3400008579685628,-2.23083025375715e-05,5.261835446568267e-07,-1.2525379725862851e-05,-2.5597889486162196e-06,-7.734477983501765e-07,-3.705171850190586e-05,7.4610663680359485e-06,1.2099213767023582,5.919647017395296e-10,8.009614877462122e-08,0.00021195639523334815,1.210133413785705
