parameter,true,fitted,relative_error
eta_infinity,0.35,0.35031899329667315,0.0009114094190662163
delta_eta,1.25,1.2499115030660015,7.07975471987865e-05
tau,0.45,0.4504051982449291,0.0009004405442868278
xi,0.7,0.7004687964112559,0.0006697091589370961
